id,tenquan,diachi,rating
132,"Cơm Gà Lá Dứa, Healthy Food & Cơm Văn Phòng - Bếp Ansa","71/2/58 Nguyễn Bặc, P. 3, Tân Bình, TP. HCM",4.5
133,Quán Út Linh - Bún Riêu Cua Đồng,"005 lô G, Chung Cư Bàu Cát 2, P. 10, Tân Bình, TP. HCM",4.5
134,VOCUPPA CAFÉ - Waffle & Dessert - Điện Biên Phủ,"195 Điện Biên Phủ, P. 15, Bình Thạnh, TP. HCM",4.5
135,Trà Sữa Mr Hon - Nguyễn Văn Nghi,"132 Nguyễn Văn Nghi, P.5, Gò Vấp, TP. HCM",4.5
136,Tiệm Trà Sữa Chút Tea - Trần Thị Điệu,"11 Trần Thị Điệu, P. Phước Long B, Thành Phố Thủ Đức, TP. HCM",4.5
137,Bánh Mì Tô - Bò Kho & Xíu Mại & Lagu Gà - Hoàng Diệu,"K64 Đường Hoàng Diệu, P. 6, Quận 4, TP. HCM",4.5
138,"Teespresso - Trà Sữa, Trà Trái Cây & Sữa Tươi - 112A Tây Thạnh","112A Tây Thạnh, P. Tây Thạnh, Tân Phú, TP. HCM",4.5
139,Cơm Gà Út Hà - Nguyễn Văn Đậu,"47/64 Nguyễn Văn Đậu, P. 5, Bình Thạnh, TP. HCM",4.5
140,Bún Ốc Sườn Cô Sáu - Quận 1,"454 Hai Bà Trưng, P. Tân Định , Quận 1, TP. HCM",4.5
141,Thèm - Trà Sữa Chống Khẩu Nghiệp - Đường Số 17,"59a Đường Số 17, P. Tân Quy, Quận 7, TP. HCM",4.5
142,Nước Mía Mix & Ăn Vặt LON TON,"1055 Phan Văn Trị, P. 10, Gò Vấp, TP. HCM",3.5
143,Kem Bơ - Trái Cây Tô 251 - Đoàn Văn Bơ,"516 Đoàn Văn Bơ, P. 14, Quận 4, TP. HCM",4.5
144,Trà Sữa Sunday Basic - Phan Văn Hớn,"52/1B Phan Văn Hớn, Ấp Tiền Lân 1, X. Bà Điểm, Hóc Môn, TP. HCM",4.5
145,GENKI - Trà Sữa & Cà Phê - Ngô Thời Nhiệm,"87 Ngô Thời Nhiệm, P. Võ Thị Sáu, Quận 3, TP. HCM",4.5
146,KOI Thé - Vincom Mega Mall Thảo Điền,"B1-K11-K12-K13, Vincom Mega Mall Thảo Điền, 161 Xa Lộ Hà Nội, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",4.5
147,"Cơm Delichi - Cơm Sườn, Ba Rọi Xốt, Cơm Văn Phòng - Vườn Chuối","117/3 Vườn Chuối, P. 4, Quận 3, TP. HCM",4.5
148,"Bento Delichi - Cơm Gà Xối Mỡ, Cơm Gà Mắm Tỏi - Pasteur","206 Pasteur, P. Võ Thị Sáu, Quận 3, TP. HCM",5
149,Bánh Mì Ơi - 132 Hoàng Hoa Thám - Tân Bình,"132 Hoàng Hoa Thám, P. 12, Tân Bình, TP. HCM",4.5
150,Trà Sữa ToCoToCo - 19B Hiệp Bình,"19B Hiệp Bình, P. Hiệp Bình Chánh, Thành Phố Thủ Đức, TP. HCM",4.5
