idquan,rating,item,price
1,4.5,Trà Sữa Lài - Jasmine Milk Tea,45000
1,4.5,Ly Sứ Thỏ & Giáng Sinh - Christmas & Bunny Mug,249000
1,4.5,Trà Lài Kem Phô Mai - Jasmine Fomai,79000
1,4.5,Kem Phô Mai - Fomai Macchiato,19000
1,4.5,Trà Nguyên Lá Kem Phô Mai - Full Leaf Fomai,79000
1,4.5,Trà Siêu Đào - Perfect Peach Tea,65000
1,4.5,Opera Bạc Xỉu - Opera Caffè,62000
1,4.5,Trà Cam Quýt - Gold On Top,75000
1,4.5,Đậm Trà Dừa Non - Rich Matcha Young Coconut,89000
1,4.5,Genmaicha Avocado Milk Tea - Trà Sữa Bơ Gạo Rang,59000
1,4.5,Tàu Hủ Matcha - Tofu Matcha,10000
1,4.5,Cà Phê Sữa Tươi - Iced Caffè Latte,65000
1,4.5,Matcha Tan Chảy - Super Matcha Cake,85000
1,4.5,Trà Nhãn Khúc Bạch - Panna Cotta Longan Tea,69000
1,4.5,Trà Cam Nha Đam - Bubble On Top,59000
1,4.5,Cà Phê Hạnh Nhân Kem Phô Mai - Almond Caffè Fomai,78000
1,4.5,Trân châu Matcha Phô Mai - Cheese Matcha Bubble,15000
1,4.5,Bình Power Đỏ - Power Red Tumbler,249000
1,4.5,Dịu Đào - Peach & Peace Tea,69000
1,4.5,Genmaicha Avocado Bubble Milk Tea - Trà Sữa Bơ Gạo Rang Trân Châu Đen,85000
1,4.5,Trân châu Củ năng dẻo -  Pink Bubble,15000
1,4.5,Cà Phê Sữa - Milk Caffè,42000
1,4.5,Cà Phê Đen Kiểu Mỹ - Iced Americano,59000
1,4.5,Trà Cam Đào - Sunshine Tea,65000
1,4.5,Dịu Rang - Gentle Hojicha Latte,55000
1,4.5,Avocado Par'Tea - Trà Sữa Bơ Đặc Biệt,59000
1,4.5,Marble Avocado - Marble Bơ,79000
1,4.5,Trà Sữa Nguyên Lá - Full Leaf Milk Tea,45000
1,4.5,Trân Châu Đen - Black Bubble,15000
1,4.5,Bánh Phô Mai Mềm Cháy - Basque Cheesecake,89000
1,4.5,Hạt nổ củ năng - Pink Popping Boba,10000
1,4.5,Trà Lài Vải - Lychee Jasmine Tea,65000
1,4.5,Matcha Tàu Hủ Matcha - Matcha Tofu Matcha,65000
1,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
1,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
1,4.5,Phin Kem Muối - Salted Phin Supreme,69000
1,4.5,Đậm Trà - Rich Matcha Latte,65000
1,4.5,Bơ Cacao Kem Muối - Salted Cacao Avocado,75000
1,4.5,Avocado 100% With Almond - Bơ 100% Vị Hạnh Nhân,79000
1,4.5,Khúc Bạch - Panna Cotta,15000
1,4.5,Dịu Vân Dừa Non - Matcha Coco Cloud,79000
1,4.5,Super 4 Cheese - Super 4 Cheese Cake,85000
1,4.5,Trà Sữa Bơ - Avocado Milk Tea,55000
1,4.5,Avocado 100% With Caramel - Bơ 100% Vị Caramel,79000
2,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
3,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
4,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
5,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
6,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
7,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
8,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
9,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
10,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
11,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
12,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
13,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
14,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
15,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
16,0,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
17,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
18,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
19,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
20,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
21,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
22,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
23,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
24,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
25,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
26,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
27,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
28,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
29,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
30,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
31,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
32,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
33,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
34,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
35,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
36,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
37,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
38,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
39,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
40,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
41,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
42,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
43,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
44,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
45,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
46,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
47,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
48,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
49,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
50,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
51,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
52,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
53,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
54,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
55,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
56,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
57,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
58,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
59,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
60,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
61,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
62,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
63,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
64,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
65,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
66,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
67,0,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
68,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
69,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
70,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
71,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
72,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
73,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
74,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
75,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
76,4.5,Ngàn Lớp Trứng Muối - Salted Egg Yolk Croissant,79000
77,4.5,Trà Tắc Thái,26000
1,4.5,Cặp Lót Ly Ngân Hà - Cheesemas Couple Coasters,99000
1,4.5,Bánh Flan - Flan,19000
1,4.5,Dịu Trà Dừa Non - Gentle Matcha Young Coconut,69000
1,4.5,Cà Phê Kem Muối - Salted Marble Caffè,69000
1,4.5,Phin Đặc Biệt - Phin Supreme,69000
1,4.5,Super Bơ - Super Avocado Cake,75000
1,4.5,Cà Phê Đen - Black Caffè,48000
1,4.5,Trà Sữa Lài Hạnh Nhân - Jasmine Almond Milk Tea,55000
1,4.5,Dịu Trà - Gentle Matcha Latte,55000
1,4.5,Super Đào - Super Peach Cake,85000
77,4.5,Bún thêm,6000
77,4.5,Sữa Tươi Cafe SoGa thơm,29000
77,4.5,Bún Thái sò,52000
77,4.5,Tôm Càng Xanh,37000
77,4.5,Combo: Bún Thái Nắng Và hải Sản,105000
77,4.5,Cafe SoGa Đen Đá,19000
77,4.5,Bún Thái sò+ chén sò nhúng thái,77000
77,4.5,Bún thái tôm,59000
77,4.5,Bún Thái Nắng Và Sò Thêm,87000
77,4.5,Mì trụng sốt,6000
77,4.5,Bún thái mực,59000
77,4.5,Mì Thái Nắng,62000
77,4.5,Bún thái Nắng Đặc biệt,62000
77,4.5,Vẹm Xanh,25000
77,4.5,Mực thêm,35000
77,4.5,Combo 2 Bún Thái sò,112000
77,4.5,Bạc Xỉu,29000
77,4.5,Hải Sản Thêm,39000
77,4.5,Cafe sữa  SoGa,26000
77,4.5,Combo 2 người,151000
78,4.5,Trà sữa nguyên lá trân châu - 700ml,35000
79,4.5,Phin sữa đá - 500ml,34000
80,4.5,Phin sữa đá - 500ml,34000
81,4.5,Phin sữa đá - 500ml,34000
82,4.5,Phin sữa đá - 500ml,34000
83,4.5,Phin sữa đá - 500ml,34000
84,4.5,Phin sữa đá - 500ml,34000
85,4.5,Phin sữa đá - 500ml,34000
86,4.5,Phin sữa đá - 500ml,34000
87,4.5,Phin sữa đá - 500ml,34000
88,4.5,Phin sữa đá - 500ml,34000
89,4.5,Phin sữa đá - 500ml,34000
90,4.5,Phin sữa đá - 500ml,34000
91,4.5,Phin sữa đá - 500ml,34000
92,4.5,Phin sữa đá - 500ml,34000
93,4.5,Phin sữa đá - 500ml,34000
94,4.5,Phin sữa đá - 500ml,34000
95,4.5,Phin sữa đá - 500ml,34000
96,4.5,Phin sữa đá - 500ml,34000
97,4.5,Phin sữa đá - 500ml,34000
98,4.5,Phin sữa đá - 500ml,34000
99,4.5,Phin sữa đá - 500ml,34000
100,4.5,Phin sữa đá - 500ml,34000
101,4.5,Phin sữa đá - 500ml,34000
102,4.5,Phin sữa đá - 500ml,34000
103,4.5,Phin sữa đá - 500ml,34000
104,4.5,Phin sữa đá - 500ml,34000
105,4.5,Phin sữa đá - 500ml,34000
106,5,Phin sữa đá - 500ml,34000
107,4.5,Phin sữa đá - 500ml,34000
108,4.5,Phin sữa đá - 500ml,34000
109,4.5,Phin sữa đá - 500ml,34000
110,4.5,Phin sữa đá - 500ml,34000
111,4.5,Phin sữa đá - 500ml,34000
112,4.5,Phin sữa đá - 500ml,34000
113,4.5,Phin sữa đá - 500ml,34000
114,4.5,Phin sữa đá - 500ml,34000
115,4.5,Phin sữa đá - 500ml,34000
116,4.5,Phin sữa đá - 500ml,34000
117,5,Phin sữa đá - 500ml,34000
118,4.5,Phin sữa đá - 500ml,34000
119,0,Phin sữa đá - 500ml,34000
120,4.5,Phin sữa đá - 500ml,34000
121,4.5,Phin sữa đá - 500ml,34000
122,4.5,Phin sữa đá - 500ml,34000
123,4.5,Phin sữa đá - 500ml,34000
124,4.5,Phin sữa đá - 500ml,34000
125,4.5,Phin sữa đá - 500ml,34000
126,4.5,Phin sữa đá - 500ml,34000
127,4.5,Phin sữa đá - 500ml,34000
128,0,Phin sữa đá - 500ml,34000
129,4.5,Phin sữa đá - 500ml,34000
130,4.5,Phin sữa đá - 500ml,34000
131,4.5,Phin sữa đá - 500ml,34000
132,4.5,Phin sữa đá - 500ml,34000
133,4.5,Phin sữa đá - 500ml,34000
134,4.5,Phin sữa đá - 500ml,34000
135,0,Phin sữa đá - 500ml,34000
