id,tenquan,diachi,rating
79,Joma Bakery Cafe - 38 Liễu Giai,Hà Nội,4.6
80,"Tâm Cook - Bánh Mì Pate, Bánh Mì Chảo Hải Phòng - 210 Hào Nam",Hà Nội,4.5
81,Bánh mì Bami Bread - Tây Sơn,Hà Nội,4.8
82,Bún miến ngan Đội Cấn,Hà Nội,4.6
83,CẦU THANG QUÁN,Hà Nội,25 mins  •  2.9 km
84,Bánh Cuốn Nóng Gia Truyền - Đội Cấn,Hà Nội,4.4
85,"KIOT TRẠM - CAFE MUỐI, TRÀ SỮA, TRÀ HOA QUẢ - 84 SƠN TÂY, BA ĐÌNH",Hà Nội,4.9
86,Mì Trộn Indomie 158 - Khâm Thiên,Hà Nội,4.5
87,Homefarm - Ngô Sĩ Liên,Hà Nội,4.4
88,Chợ Ngô Sĩ Liên - Cửa Hàng Rau Sạch Mạnh Béo,Hà Nội,4.2
89,Xôi Hiệp Hoà,Hà Nội,3.9
90,"KIOT TRẠM - CAFE MUỐI, TRÀ SỮA, TRÀ HOA QUẢ - SỐ 33 NGÕ 82 NGUYỄN PHÚC LAI",Hà Nội,4.7
91,Bánh Mì Và Xôi Thanh Thanh,Hà Nội,4.7
92,Phê La - Tông Đản,Hà Nội,4.6
93,Bà Tổng - Bún Thang Phở Gà Hương Vị Hà Nội Xưa - 56 Ngô Sĩ Liên,Hà Nội,4.3
94,Bếp Nhà Bông - Mì Indomie Trộn,Hà Nội,4.5
95,Chợ Ngô Sĩ Liên - Cửa hàng rau sạch Mạnh Béo CS2,Hà Nội,3.7
96,"Bếp Nhà Chang - Cơm, Mỳ & Cháo",Hà Nội,3.9
97,Paris Baguette - Trung Hòa,Hà Nội,4.6
